CODIGO;NOMBRE;CREDITOS;AREA;CATEGORIA;LABORATORIO;RESTRICCION
638;Controles Industriales;6;Producci¢n;Obligatorio;No;0
668;Econometria;5;Metodos Cuantitativos y Econom¡a ;Opcional;No;0
604;Investigaci¢n de Operaciones 3;5;Metodos Cuantitativos y Econom¡a ;Opcional;Si;0
737;Estadistica 3 ;5;Estadistica;Opcional;No;0
506;Plantas de Vapor;5;Materiales para Ingenieria;Opcional;No;0
504;Motores de Combusti¢n Interna;5;Potencia;Opcional;Si;0
1;Etica Profesional;4;Humanistica;Opcional;No;200
7995;Seminario de Investigaci¢n;4;Metodolog¡a de Sistemas;Obligatorio;No;200
706;Preparci¢n y evaluaci¢n de proyectos;4;Planeamiento;Obligatorio;Si;0
640;Control de Producci¢n;6;Producci¢n;Obligatorio;Si;0
439;Ingenieria Textil 2;4;Producci¢n;Opcional;No;0
288;Introducci¢n a la Evaluaci¢n de Impacto Ambiental;4;Planeamiento;Opcional;No;190
7990;Seminario de Investigaci¢n EPS;4;EPS;Obligatorio;No;225
2005;Practica Final;;EPS;Obligatorio;No;200
3710;Planeamiento;6;Planeamiento;Opcional;No;190
708;Preparci¢n y evaluaci¢n de proyectos 2;4;Administrativa;Obligatorio;No;0
